contestant,age,city,state_abbr,season,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,iconPictureURL,gender,occupation,fullPictureURL,season_number
Jed Hildebrand,25,Dallas,TX,Thailand,14,3,NA,3,9,5,https://vignette.wikia.nocookie.net/survivor/images/1/12/S5_jed_t.png/revision/latest?cb=20180526214924,Male,Dental Student,https://vignette.wikia.nocookie.net/survivor/images/e/eb/S5_Jed_Hildebrand.jpg/revision/latest?cb=20120610040217,5
Ghandia Johnson,33,Denver,CO,Thailand,13,2,NA,2,12,5,https://vignette.wikia.nocookie.net/survivor/images/e/e0/S5_ghandia_t.png/revision/latest?cb=20180526214922,Female,Legal Secretary,https://vignette.wikia.nocookie.net/survivor/images/d/d8/S5_Ghandia_Johnson.jpg/revision/latest?cb=20120610040246,5
Stephanie Dill,29,Fayetteville,AR,Thailand,12,5,NA,5,15,5,https://vignette.wikia.nocookie.net/survivor/images/e/e3/S5_stephanie_t.png/revision/latest?cb=20180526214928,Female,Firefighter,https://vignette.wikia.nocookie.net/survivor/images/a/a4/S5_Stephanie_Dill.jpg/revision/latest?cb=20120610040443,5
Robb Zbacnik,23,Scottsdale,AZ,Thailand,11,6,NA,6,18,5,https://vignette.wikia.nocookie.net/survivor/images/2/2a/S5_robb_t.png/revision/latest?cb=20180526214927,Male,Bartender,https://vignette.wikia.nocookie.net/survivor/images/1/13/S5_Robb_Zbacnik.jpg/revision/latest?cb=20120610040457,5
Shii Ann Huang,28,New York City,NY,Thailand,10,6,NA,6,21,10,https://vignette.wikia.nocookie.net/survivor/images/e/eb/S5_shiiann_t.png/revision/latest?cb=20180526214927,Female,Executive Recruiter,https://vignette.wikia.nocookie.net/survivor/images/a/ab/S8_Shii_Ann_Huang.jpg/revision/latest?cb=20120611064424,5
Erin Collins,26,Austin,TX,Thailand,9,6,NA,6,24,3,https://vignette.wikia.nocookie.net/survivor/images/8/8e/S5_erin_t.png/revision/latest?cb=20180526214922,Female,Real Estate Agent,https://vignette.wikia.nocookie.net/survivor/images/d/df/S5_Erin_Collins.jpg/revision/latest?cb=20120610040524,5
Ken Stafford,30,Brooklyn,NY,Thailand,8,6,0,6,27,6,https://vignette.wikia.nocookie.net/survivor/images/f/fc/S5_ken_t.png/revision/latest?cb=20180526214926,Male,NYC Police Officer,https://vignette.wikia.nocookie.net/survivor/images/a/a3/S5_Ken_Stafford.jpg/revision/latest?cb=20130112172533,5
Penny Ramsey,27,Plano,TX,Thailand,7,6,0,6,30,5,https://vignette.wikia.nocookie.net/survivor/images/c/c9/S5_penny_t.png/revision/latest?cb=20180526214926,Female,Pharmaceutical Sales,https://vignette.wikia.nocookie.net/survivor/images/2/22/S5_Penny_Ramsey.jpg/revision/latest?cb=20120610040737,5
Jake Billingsley,60,McKinney,TX,Thailand,6,6,0,6,33,7,https://vignette.wikia.nocookie.net/survivor/images/1/1b/S5_jake_t.png/revision/latest?cb=20180526214923,Male,Land Broker,https://vignette.wikia.nocookie.net/survivor/images/2/29/S5_Jake_Billingsley.jpg/revision/latest?cb=20120610040754,5
"Ted Rogers, Jr.",37,Durham,NC,Thailand,5,6,2,8,36,7,https://vignette.wikia.nocookie.net/survivor/images/1/15/S5_ted_t.png/revision/latest?cb=20180526214929,Male,Software Development Manager,https://vignette.wikia.nocookie.net/survivor/images/4/43/S5_Ted_Rogers%2C_Jr..jpg/revision/latest?cb=20120610040804,5
