contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Mia Galeotalanza,29,Boston,MA,Vanuatu,15,2,NA,2,7,5,Female,Bookkeeper,9,NA,NA
Brady Finta,33,Huntington Beach,CA,Vanuatu,14,2,0,2,10,6,Male,FBI Agent,9,NA,NA
Travis Sampson,33,Johnson City,TN,Vanuatu,13,2,0,2,12,6,Male,Security Officer,9,NA,NA
Lisa Keiffer,44,Mandeville,LA,Vanuatu,12,4,NA,4,15,4,Female,Real Estate Agent,9,NA,NA
John Kenney,22,Los Angeles,CA,Vanuatu,11,6,1,7,18,5,Male,Mechanical Bull Operator,9,NA,NA
Rory Freeman,35,Des Moines,IA,Vanuatu,10,4,0,4,21,14,Male,Housing Case Manager,9,NA,NA
Lea Masters,40,Columbia,SC,Vanuatu,9,7,1,8,24,7,Male,Drill Sergeant,9,NA,NA
Chad Crittenden,34,Oakland,CA,Vanuatu,8,7,1,8,27,7,Male,Teacher,9,NA,NA
Leann Slaby,35,Kansasville,WI,Vanuatu,7,6,1,7,30,8,Female,Equity Research Assistant,9,NA,NA
Ami Cusack,31,Lakewood,CO,Vanuatu,6,6,4,10,33,8,Female,"Coffee Barista;
Nanny",9,NA,NA
Julie Berry,23,Gorham,ME,Vanuatu,5,9,1,10,36,4,Female,Youth Mentor,9,NA,NA
Eliza Orlins,21,Syracuse,NY,Vanuatu,4,6,4,10,37,9,Female,"Pre-Law Student;
Law School Student",9,NA,NA
Scout Cloud Lee,59,Stillwater,OK,Vanuatu,3rd,6,0,6,38,3,Female,Rancher,9,NA,NA
Twila Tanner,41,Marshall,MO,Vanuatu,2,9,1,10,39,6,Female,Highway Repair Worker,9,NA,NA
Chris Daugherty,33,South Vienna,OH,Vanuatu,1,7,5,12,39,3,Male,Highway Construction Worker,9,NA,NA
Jonathan Libby,23,Dallas,TX,Palau,20,NA,0,0,2,NA,Male,Sales & Marketing Associate,10,NA,NA
Wanda Shirk,55,Ulysses,PA,Palau,19,NA,0,0,2,NA,Female,English Teacher,10,NA,NA
Jolanda Jones,38,Houston,TX,Palau,18,0,1,1,3,6,Female,Lawyer,10,NA,NA
Ashlee Ashby,22,Easley,SC,Palau,17,1,0,1,6,6,Female,Student,10,NA,NA
Jeff Wilson,21,Ventura,CA,Palau,16,2,0,2,8,5,Male,Personal Trainer,10,NA,NA
Kim Mullen,25,Huber Heights,OH,Palau,15,2,0,2,11,8,Female,Graduate Student,10,NA,NA
Willard Smith,56,Bellevue,WA,Palau,14,6,0,6,12,8,Male,Lawyer,10,NA,NA
Angie Jakusz,24,New Orleans,LA,Palau,13,2,0,2,12,8,Female,Bartender,10,NA,NA
James Miller,33,Mobile,AL,Palau,12,3,0,3,15,7,Male,Steelworker,10,NA,NA
Ibrehem Rahman,27,Birmingham,AL,Palau,11,3,0,3,18,4,Male,Waiter,10,NA,NA
Bobby Jon Drinkard,27,Los Angeles,CA,Palau,10,3,0,3,21,2,Male,Waiter,10,NA,NA
Coby Archa,32,Athens,TX,Palau,9,11,0,11,24,7,Male,Hairstylist,10,NA,NA
Janu Tornell,39,Las Vegas,NV,Palau,8,11,1,12,27,1,Female,"Vegas Showgirl
French Teacher",10,NA,NA
Stephenie LaGrossa,24,Tom's River,NJ,Palau,7,3,0,3,30,8,Female,Pharmaceutical Sales Respresentative,10,NA,NA
Gregg Carey,27,Chicago,IL,Palau,6,11,2,13,33,4,Male,Business Consultant,10,NA,NA
Caryn Groedel,46,Solon,OH,Palau,5,11,1,12,36,7,Female,Civil Rights Lawyer,10,NA,NA
Jenn Lyon,32,Encino,CA,Palau,4,11,0,11,37,3,Female,Nanny,10,NA,NA
Ian Rosenberger,23,Ambridge,PA,Palau,3rd,11,4,15,38,5,Male,Dolphin Trainer,10,NA,NA
Katie Gallagher,29,Merced,CA,Palau,2,11,0,11,39,1,Female,Advertising Executive,10,NA,NA
Tom Westman,40,Sayville,NY,Palau,1,11,6,17,39,0,Male,"NYC Firefighter;
Motivational Speaker",10,NA,NA
